,German,English
160,die Disco,disco
161,der Doktor,doctor
162,das Doppelzimmer,double room
163,"das Dorf, -ö, er",village
169,"der Drucker, –",printer
172,"die Durchsage, -n",announcement
176,der Durst,thirst
178,die Dusche,shower
179,"die Ecke, -n",corner
180,"die Ehefrau, -en/",wife
181,"der Ehemann, ä, er",husband
182,"das Ei, -er",egg
189,der Eingang,entrance
192,die Einladung,invitation
196,der Eintritt,entry
197,das Einzelzimmer,single room
198,die Eltern (pl.),parents
199,"die E-Mail, -s",email
200,"der Empfänger, –",recipient
203,das Ende,end
204,das Ende,end
206,die Entschuldigung,…
208,"das Ergebnis, -se",result
211,"der Erwachsene, -n",adult
215,das Essen,food
218,der Fahrer,driver
219,"die Fahrkarte, -n",(transport) ticket
220,"das Fahrrad, -ä, er",bicycle
222,"die Familie, -n",family
223,der Familienname,surname
224,der Familienstand,family/marital status
225,"die Farbe, -n",colour
226,"das Fax, -e",fax
227,der Feierabend,end of work/home time
228,der Feiertag,bank holiday
232,"der Fehler, –",mistake
236,das Feuer,fire / lighter
237,das Fieber,fever
238,"der Film, -e",film
240,die Firma,company
241,"der Fisch, -e",fish
242,"die Flasche, -n",bottle
243,das Fleisch,meat
246,der Abflug,(flight) departure
247,der Flughafen,airport
248,das Flugzeug,aeroplane
249,"das Formular, -e",form
250,"das Foto, -s",photograph
252,"die Frage, -n",question
253,die Frau,Ms
254,die Frau,woman
255,die Frauen,women
257,die Freizeit,free time
260,"der Freund, -e",friend
261,die Freundin,friend / girlfriend
264,das Frühstück,breakfast
265,die Führung,tour
269,"der Fuß, -ü, e",foot
270,der Fußball,football
271,der Garten,garden
272,"der Gast, -ä, e",guest
276,das Geburtsjahr,birth year
277,der Geburtsort,birthplace
278,der Geburtstag,birthday
289,das Geld,money
290,das Gemüse,vegetables
291,das Gepäck,luggage
295,"das Geschäft, -e",shop
296,"das Geschenk, -e",present
297,die Geschwister (pl.),sibling
298,"das Gespräch, -e",conversation/talk/call
301,"das Getränk, -e",drink
302,das Gewicht,weight
304,"das Glas, -ä, er",glass
305,"das Glas, -ä, er",glasses
311,"das Gleis, -e",platform
312,das Glück,luck
314,der Glückwunsch,congratulations
320,die Größe,size
321,die Großeltern (pl.),grandparents
322,die Großmutter,grandmother
323,der Großvater,grandfather
324,"die Gruppe, -n",group
325,"der Gruß, -ü, e",regards
326,"der Gruß, -ü, e",regards
334,"das Haar, -e",hair
336,"das Hähnchen, -",chicken
337,die Halbpension,board (dining)
338,die Halle,hall
341,die Haltestelle,(public transport) stop
342,"die Hand, -ä, e",hand
343,"das Handy, -s",mobile telephone
344,"das Haus, -ä, er",house / building
345,"das Haus, -ä, er",home
346,"das Haus, -ä, er",home
347,"die Hausaufgabe,-n",homework
348,"die Hausfrau, -en/",housewife
349,der Hausmann,househusband
350,die Heimat,home
356,der Herd,stove
357,"der Herr, -en",Mister
362,die Hilfe,help
363,die Hilfe,help
365,"das Hobby, -s",hobby
367,die Hochzeit,marriage
371,"das Hotel, -s",hotel
372,"der Hund, -e",dog
373,der Hunger,hunger
382,"die Information, -en",information point
383,"die Information, -en",information
385,das Internet,internet
387,"die Jacke, -n",jacket
390,"der Job, -s",job
391,"der Jugendliche, -n",youth/young person
393,"der Junge, -n",boy
394,der Kaffee,coffee
397,"die Karte, -n",card
398,"die Karte, -n",card
399,"die Karte, -n",menu
401,"die Kartoffel, -n",potato
402,die Kasse,till
407,"das Kind, -er",child
408,der Kindergarten,kindergarten
409,"das Kino, -s",cinema
410,der Kiosk,kiosk
412,die Klasse,class
413,die Klasse,class
414,die Kleidung,clothes
417,"der Koffer, –",suitcase
418,"der Kollege, -n",colleague
423,das Konto,account
424,der Kopf,head
428,die Küche,kitchen
429,der Kuchen,cake
430,der Kugelschreiber,ball-point pen
431,der Kühlschrank,fridge
435,"der Kunde, -n",customer
436,"der Kurs, -e",course
439,"der Laden, -ä",shop
440,"das Land, -ä, er",country
448,das Leben,life
449,die Lebensmittel (pl.),food
452,"der Lehrer, –",teacher
460,die Leute (pl.),people
461,das Licht,light
466,"das Lied, -er",song
470,"der Lkw, -s",HGV
471,das Lokal,pub
472,"die Lösung, -en",solution
478,"das Mädchen, –",girl
480,"der Mann, -ä, er",man / husband
482,"die Maschine, -n",machine
483,das Meer,sea
487,"der Mensch, -en",people
489,die Miete,rent
490,die Milch,milk
496,die Mitte,middle
497,die Möbel (pl.),furniture
501,der Moment,moment
502,der Moment,moment
505,der Mund,mouth
507,"die Mutter, -ü",mother
512,"der Name, -n",name
513,"der Name, -n",name
528,"die Nummer, -n",number
529,"die Nummer, -n",number
532,das Obst,fruit
538,das Öl,oil
539,"die Oma, -s",grandmother
540,"der Opa, -s",grandfather
541,die Ordnung,…
542,"der Ort, -e",location / place
543,das Papier,paper
544,die Papiere (pl.),papers
545,"der Partner, -/",(male) partner
546,"die Partnerin, -nen",(female) partner
547,die Party,party
548,"der Pass, -ä, e",passport
549,"die Pause, -n",break
550,"der Plan, -ä, e",map / plan
551,"der Platz, -ä, e",seat
552,"der Platz, -ä, e",seat
553,"der Platz, -ä, e",square
554,die Polizei,police
555,die Pommes frites (pl.),chips
556,die Post,post office
557,die Post,post / mail
558,die Postleitzahl,postcode
559,das Praktikum,internship
560,die Praxis,practice
561,"der Preis, -e",price
562,"das Problem, -e",problem
563,"der Prospekt, -e",brochure
564,die Prüfung,examination
569,"der Raum, -ä, e",room
570,"die Rechnung, -en",bill
573,der Regen,rain
574,der Reis,rice
576,die Reise,journey / trip
577,"das Reisebüro, -s",travel agency
578,der Reiseführer,travel guide
579,der Reiseführer,tour guide
581,die Reparatur,repair
582,"das Restaurant, -s",restaurant
583,die Rezeption,reception
588,der Saft,juice
590,der Salat,salad
591,das Salz,salt
592,"der Satz, -ä, e",sentence
593,die S-Bahn,commuter train
594,der Schalter,counter
597,"das Schild, -er",sign
598,"der Schinken, –",ham
605,der Schluss,…
606,der Schluss,end
607,"der Schlüssel, –",key
613,"der Schrank, -ä, e",cupboard
615,"der Schuh, -e",shoe
616,die Schule,school
617,die Schule,school
618,"der Schüler, –",pupil
621,"die Schwester, -n",sister
623,das Schwimmbad,swimming pool
624,der See,lake
627,"die Sehenswürdigkeit, -en",sights/attractions
647,das Sofa,sofa
649,"der Sohn, -ö, e",son
652,die Sonne,sun
655,die Speisekarte,menu
658,der Sport,sport
659,"die Sprache, -n",language
661,"die Stadt, -ä, e",town / city
664,"die Stelle, -n",job / position
666,der Stock,floor (of a building)
667,"die Straße, -n",street
668,die Straßenbahn,tram
670,das Studium,degree course
671,"der Student, -en",student
672,"die Stunde, -n",hour
675,"die Tasche, -n",bag
676,"das Taxi, -s",taxi
677,der Tee,tea
678,"der Teil, -e",part
680,das Telefon,telephone
681,"der Termin, -e",appointment
682,der Test,test
684,"der Text, -e",text
685,das Thema,topic
686,"das Ticket, -s",ticket
687,"der Tisch, -e",table
688,"die Tochter, -ö",daughter
689,"die Toilette, -en",toilet
690,"die Tomate, -n",tomato
694,"die Treppe, -n",stairs
704,die Uhr,o'clock / am / pm
712,der Unterricht,class
714,die Unterschrift,signature
715,der Urlaub,holiday
716,"der Vater, -ä",father
719,der Verein,club
722,"der Verkäufer, –",salesperson
724,der Vermieter,landlord
726,"der Verwandte, -n",relative
733,"der Vorname, -n",first name
734,die Vorsicht,…
735,die Vorsicht,attention
737,die Vorwahl,area code
750,das Wasser,water
753,der Wein,wine
757,die Welt,world
762,das Wetter,weather
772,das Wiederhören,…
773,das Wiedersehen,…
776,der Wind,wind
786,"die Wohnung, -en",flat
788,"das Wort, -ö, er/-e",word
791,die Zeit,time
793,"die Zeitung, -en",newspaper
794,"die Zigarette, -n",cigarette
795,"das Zimmer, –",room
796,"das Zimmer, –",room
797,"das Zimmer, –",room
798,"das Zimmer, –",room
799,der Zoll,customs
804,"der Zug, -ü, e",train
853,"die Sekunde, -n",second
854,"die Minute, -n",minute
855,"die Stunde, -n",hour
856,"der Tag, -e",day
857,"die Woche, -e",week
858,"das Jahr, -e",year
867,"der Wochentag, -e",weekday
868,der Sonntag,Sunday
869,der Montag,Monday
870,der Dienstag,Tuesday
871,der Mittwoch,Wednesday
872,der Donnerstag,Thursday
873,der Freitag,Friday
874,der Samstag/Sonnabend,Saturday
875,das Wochenende,weekend
877,der Tag,day
878,der Morgen,morning
879,"der Vormittag,-e",morning
880,der Mittag,midday
881,"der Nachmittag,-e",afternoon
882,"der Abend,-e",evening
883,"die Nacht,¨-e",night
884,der Januar,January
885,der Februar,February
886,der März,March
887,der April,April
888,der Mai,May
889,der Juni,June
890,der Juli,July
891,der August,August
892,der September,September
893,der Oktober,October
894,der November,November
895,der Dezember,December
896,der Frühling/das Frühjahr,spring
897,der Sommer,summer
898,der Herbst,autumn
899,der Winter,winter
920,der Norden,north
921,der Süden,south
922,der Westen,west
923,der Osten,east
925,"die Nummer, -n",number
